grid_latitude,grid_longitude,weathercode,temperature_2m_mean,temperature_2m_max,temperature_2m_min,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,shortwave_radiation_sum,Number of Sites Reporting,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_lag_7,aqi_roll_mean_3,aqi_roll_mean_7,aqi_roll_std_7,aqi_diff_1,aqi_diff_7,month,weekday,season,month_sin,month_cos,weekday_sin,weekday_cos,temp_range,wind_dir_sin,wind_dir_cos,AQI
42.448944,-76.498665,63,9.5,13.7,5.2,37267.24,17128.88,2.9,2.9,0.0,2.0,3.59,9.7,7.83,1.0,38.0,35.0,36.0,26.0,36.333333333333336,33.714285714285715,4.423960733486274,3.0,12.0,2,5,4,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,8.5,0.37460659341591224,-0.9271838545667873,34.0
42.448944,-76.498665,3,3.7,5.8,0.4,37424.38,3580.75,0.0,0.0,0.0,0.0,3.89,8.5,5.33,1.0,34.0,38.0,35.0,29.0,35.666666666666664,34.857142857142854,2.8535691936339966,-4.0,5.0,2,6,4,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,5.3999999999999995,-0.8480480961564262,0.5299192642332047,24.0
42.448944,-76.498665,3,1.4,3.2,0.0,37582.75,8357.15,0.0,0.0,0.0,0.0,2.1,3.6,7.35,1.0,24.0,34.0,38.0,36.0,32.0,34.142857142857146,4.634241089562594,-10.0,-12.0,2,0,4,0.8660254037844386,0.5000000000000001,0.0,1.0,3.2,-0.8571673007021123,0.5150380749100542,25.0
42.448944,-76.498665,3,1.3,3.6,-0.5,37742.2,23058.72,0.0,0.0,0.0,0.0,6.8,15.1,10.89,1.0,25.0,24.0,34.0,36.0,27.666666666666668,32.57142857142857,5.65264371355393,1.0,-11.0,2,1,4,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,4.1,-0.7986355100472932,0.6018150231520479,33.0
42.448944,-76.498665,3,-2.6,-0.3,-5.0,37902.57,30937.12,0.0,0.0,0.0,0.0,7.19,14.2,12.52,1.0,33.0,25.0,24.0,36.0,27.333333333333332,32.142857142857146,5.45980986935659,8.0,-3.0,2,2,4,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,4.7,-0.8829475928589271,0.4694715627858904,37.0
42.448944,-76.498665,73,-1.4,2.5,-6.5,38063.7,18416.95,0.4,0.1,0.21,1.0,5.66,17.2,10.69,1.0,37.0,33.0,25.0,35.0,31.666666666666668,32.285714285714285,5.589105048046158,4.0,2.0,2,3,4,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,9.0,0.3090169943749475,-0.9510565162951535,32.0
42.448944,-76.498665,3,0.5,2.3,-2.1,38225.45,14400.0,0.0,0.0,0.0,0.0,8.74,19.0,10.76,1.0,32.0,37.0,33.0,38.0,34.0,31.857142857142858,5.459809869356589,-5.0,-6.0,2,4,4,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,4.4,-0.9702957262759966,0.24192189559966745,32.0
42.448944,-76.498665,73,-3.8,-2.0,-7.3,38387.65,8254.98,2.8,0.7,1.47,7.0,6.24,10.5,11.29,1.0,32.0,32.0,37.0,34.0,33.666666666666664,31.0,4.760952285695213,0.0,-2.0,2,5,4,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,5.3,-0.9612616959383188,0.2756373558169994,33.0
42.448944,-76.498665,3,-3.5,0.6,-7.3,38550.17,10591.35,0.0,0.0,0.0,0.0,6.35,16.6,10.83,1.0,33.0,32.0,32.0,24.0,32.333333333333336,30.857142857142858,4.670066788550632,1.0,9.0,2,6,4,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,7.8999999999999995,-0.5299192642332048,-0.8480480961564261,36.0
42.448944,-76.498665,3,-4.0,-1.2,-9.2,38712.85,32400.0,0.0,0.0,0.0,0.0,5.06,15.8,14.91,1.0,36.0,33.0,32.0,25.0,33.666666666666664,32.57142857142857,3.866830866792694,3.0,11.0,2,0,4,0.8660254037844386,0.5000000000000001,0.0,1.0,7.999999999999999,-0.7986355100472932,0.6018150231520479,37.0
42.448944,-76.498665,1,-4.1,5.1,-11.6,38875.56,35965.15,0.0,0.0,0.0,0.0,3.11,4.8,15.17,1.0,37.0,36.0,33.0,33.0,35.333333333333336,34.285714285714285,2.2886885410852646,1.0,4.0,2,1,4,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,16.7,0.8191520442889917,-0.5735764363510462,39.0
42.448944,-76.498665,45,1.9,9.0,-3.6,39038.15,36000.0,0.0,0.0,0.0,0.0,5.85,11.6,15.09,1.0,39.0,37.0,36.0,37.0,37.333333333333336,35.142857142857146,2.7945525240230427,2.0,2.0,2,2,4,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,12.6,0.6560590289905073,-0.754709580222772,38.0
42.448944,-76.498665,61,2.7,5.6,0.8,39200.95,2270.69,5.2,5.2,0.0,7.0,4.63,11.1,6.48,1.0,38.0,39.0,37.0,32.0,38.0,35.285714285714285,2.927700218845557,-1.0,6.0,2,3,4,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,4.8,0.8571673007021123,-0.5150380749100543,33.0
42.448944,-76.498665,45,5.7,12.1,2.4,39365.26,25200.0,0.0,0.0,0.0,0.0,4.62,12.4,13.9,1.0,33.0,38.0,39.0,32.0,36.666666666666664,35.42857142857143,2.7602622373693717,-5.0,1.0,2,4,4,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,9.7,0.5446390350150271,0.838670567945424,38.0
42.448944,-76.498665,3,-4.9,1.7,-9.0,39531.05,36000.0,0.0,0.0,0.0,0.0,6.28,10.7,15.68,1.0,38.0,33.0,38.0,33.0,36.333333333333336,36.285714285714285,2.4299715851757746,5.0,5.0,2,5,4,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,10.7,-0.6819983600624984,0.7313537016191707,35.0
42.448944,-76.498665,3,-2.0,8.1,-10.0,39698.2,36000.0,0.0,0.0,0.0,0.0,5.49,11.6,16.08,1.0,35.0,38.0,33.0,36.0,35.333333333333336,36.57142857142857,2.0701966780270067,-3.0,-1.0,2,6,4,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,18.1,0.5446390350150273,-0.8386705679454239,35.0
42.448944,-76.498665,3,7.3,14.1,2.4,39866.55,33089.83,0.0,0.0,0.0,0.0,3.89,9.3,15.13,1.0,35.0,35.0,38.0,37.0,36.0,36.42857142857143,2.149196970742185,0.0,-2.0,2,0,4,0.8660254037844386,0.5000000000000001,0.0,1.0,11.7,0.5735764363510459,-0.8191520442889919,38.0
42.448944,-76.498665,3,11.0,19.8,4.4,40035.98,28992.69,0.0,0.0,0.0,0.0,7.16,15.2,14.37,1.0,38.0,35.0,35.0,39.0,36.0,36.57142857142857,2.2253945610566945,3.0,-1.0,2,1,4,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,15.4,0.7071067811865476,-0.7071067811865475,44.0
42.448944,-76.498665,65,10.6,16.3,-1.4,40206.34,0.0,14.8,14.8,0.0,5.0,9.43,16.6,6.45,1.0,44.0,38.0,35.0,38.0,39.0,37.285714285714285,3.5456210417116405,6.0,6.0,2,2,4,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,17.7,-0.2079116908177595,-0.9781476007338056,33.0
42.448944,-76.498665,3,-2.4,-0.7,-4.4,40377.49,14400.0,0.0,0.0,0.0,0.0,9.75,17.4,12.24,1.0,33.0,44.0,38.0,33.0,38.333333333333336,36.57142857142857,3.866830866792691,-11.0,0.0,2,3,4,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,3.7,-0.9702957262759966,0.24192189559966745,36.0
