State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
New York,Tompkins,36,109,2024-06-11,19,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-12,37,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-13,51,Moderate,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-14,51,Moderate,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-15,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-16,43,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-17,50,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-18,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-19,47,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-20,45,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-21,46,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-22,50,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-24,38,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-25,48,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-27,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-28,40,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-29,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-30,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-01,28,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-02,37,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-03,49,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-04,47,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-05,34,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-06,41,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-07,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-08,46,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-09,47,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-10,42,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-11,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-12,34,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-13,43,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-14,48,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-15,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-16,45,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-17,39,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-18,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-19,33,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-20,47,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-21,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-22,40,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-23,47,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-24,42,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-25,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-26,33,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-27,40,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-28,45,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-29,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-30,37,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-07-31,43,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-01,50,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-02,40,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-03,33,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-04,42,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-05,36,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-06,21,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-07,22,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-08,22,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-09,28,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-10,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-11,25,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-12,21,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-13,22,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-14,38,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-15,41,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-16,41,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-17,34,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-18,30,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-19,21,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-20,21,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-22,34,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-23,42,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-24,48,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-25,58,Moderate,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-26,51,Moderate,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-27,46,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-28,40,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-29,23,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-30,25,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-08-31,25,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-01,36,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-02,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-03,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-04,37,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-05,46,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-06,43,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-07,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-08,34,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-09,30,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-10,37,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-11,47,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-12,58,Moderate,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-13,71,Moderate,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-14,50,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-15,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-16,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-17,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-18,35,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-19,40,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-20,42,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-21,46,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-22,39,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-26,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-27,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-28,22,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-29,19,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-09-30,24,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-01,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-02,23,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-03,36,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-04,43,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-05,34,Good,Ozone,36-109-9991,1
